City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
521,La Cruz,MX,85.1,clear sky,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
523,Srivardhan,IN,76.32,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
524,Aviles,ES,60.73,clear sky,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
525,Mogadishu,SO,77.99,overcast clouds,2.0371,45.3438,Hotel Juba
526,Mudgee,AU,63.63,overcast clouds,-32.5943,149.5871,Parklands Resort & Conference Centre
528,Panama City,PA,81.37,scattered clouds,8.9936,-79.5197,Riande Urban Hotel
530,Ariquemes,BR,77.95,moderate rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
531,Bardiyah,LY,73.74,clear sky,31.7561,25.0865,بورتو بردية
534,Nipawin,CA,70.27,scattered clouds,53.3668,-104.0009,Tobin Lake Motel
535,Daboh,IN,80.19,clear sky,26.0025,78.8761,Purani Haat
536,Popondetta,PG,86.58,overcast clouds,-8.7537,148.2534,Timos Transit House
537,Albox,ES,69.33,overcast clouds,37.3886,-2.1495,Steve Conroy Los Olivos
538,Khandbari,NP,69.03,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
540,Boke,GN,75.9,scattered clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
541,Poum,NC,75.4,broken clouds,-20.2333,164.0167,Gîte kajeon
544,Bambanglipuro,ID,61.61,overcast clouds,-7.95,110.2833,Puri Brata
545,Saint-Joseph,RE,70.16,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
546,Ilo,PE,62.64,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
547,Taungdwingyi,MM,76.41,few clouds,20.0167,95.55,NayNaing MobileService
552,Soe,ID,74.8,few clouds,-9.8607,124.284,Dena Hotel
553,Hibbing,US,80.02,clear sky,47.4272,-92.9377,Americas Best Value Inn Hibbing
554,Margate,GB,62.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
555,Chepareria,KE,62.49,overcast clouds,1.3077,35.2039,Hamza Lodge
556,Neuquen,AR,62.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
557,Gushikawa,JP,81.99,few clouds,26.3544,127.8686,Kirari Guest House
559,Saint Pete Beach,US,88.14,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
560,Lorengau,PG,78.12,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
562,San Quintin,MX,72.91,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
563,Trincomalee,LK,78.53,overcast clouds,8.5711,81.2335,Welcombe Hotel
566,Lazaro Cardenas,MX,83.44,scattered clouds,17.9583,-102.2,quinta antigua
570,Amahai,ID,78.91,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
